ch1,wd1,sen1,att_0,att_1,att_2,att_3,att_4,att_5,att_6,att_7,att_8,att_9,att_10,att_11,att_12,att_13,att_14,att_15,att_16,att_17,att_18,att_19,att_20,att_21,att_22,att_23,att_24,att_25,att_26,att_27,att_28,att_29,att_30,att_31,att_32,att_33,att_34,att_35,att_36,att_37,att_38,att_39,att_40,att_41,att_42,att_43,att_44,att_45,att_46,att_47,att_48,att_49,att_50,att_51,att_52,att_53,att_54,att_55,att_56,att_57,att_58,att_59,att_60,att_61,att_62,att_63,att_64,att_65,att_66,att_67,att_68,att_69,att_70,att_71,att_72,att_73,att_74,att_75,att_76,att_77,att_78,att_79,att_80,att_81,att_82,att_83,att_84,att_85,att_86,att_87,att_88,att_89,att_90,att_91,att_92,att_93,att_94,att_95,att_96,att_97,att_98,att_99,att_100,att_101,att_102,att_103,att_104,att_105,att_106,att_107,att_108,att_109,att_110,att_111,att_112,cls
1786.0,410.0,28.0,0.008,0.021,0.006,0.049,0.009,0.012,0.011,0.011,0.006,0.004,0.002,0.02,0.006,0.003,0.002,0.002,0.004,0.013,0.011,0.008,0,0.015,0.005,0.006,0.003,0.009,0.002,0,0.014,0,0.001,0.003,0.001,0,0.007,0.003,0.004,0.001,0.004,0.001,0,0.001,0.002,0.002,0.002,0.002,0.001,0.002,0.001,0,0.001,0,0.001,0,0,0,0.001,0.001,0.001,0,0.006,0.001,0.001,0,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0.001,0.003,0,0,0.002,0.002,0.002,0,0,0.002,0.003,0.005,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0.001,0.008,0.001,0,0,0,0,0,0,0,0,0,0,10
1446.0,328.0,28.0,0.005,0.013,0.004,0.031,0.006,0.008,0.007,0.007,0.004,0.003,0.001,0.012,0,0.001,0.001,0.001,0.003,0.008,0.007,0.005,0.001,0.01,0.003,0.004,0.002,0.006,0.001,0,0.009,0,0.001,0.002,0.001,0,0.005,0.002,0.003,0.001,0.003,0,0,0.001,0.001,0.002,0.001,0.001,0,0.002,0.001,0,0.001,0,0.001,0.001,0,0,0,0.001,0.001,0,0.004,0.001,0.002,0,0.002,0,0,0,0,0,0,0.002,0,0,0,0,0.001,0,0,0,0.001,0.003,0,0,0.001,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.001,0,0,0,0,0,0,0,0,0,0.001,10
1862.0,407.0,24.0,0.01,0.025,0.007,0.056,0.012,0.014,0.013,0.013,0.007,0.005,0.003,0.023,0.001,0.002,0.002,0.002,0.005,0.015,0.012,0.01,0.002,0.018,0.005,0.007,0.004,0.01,0.001,0,0.016,0,0.002,0.003,0.002,0,0.008,0.004,0.005,0.001,0.004,0.001,0,0.001,0.003,0.003,0.003,0.002,0.001,0.004,0.001,0,0.004,0,0.001,0,0.001,0,0.001,0.001,0.001,0,0.007,0.001,0.002,0,0.003,0,0.001,0,0.001,0.002,0.001,0.002,0.001,0.003,0.001,0.002,0.001,0,0,0,0,0.004,0,0,0.001,0.003,0.004,0,0.001,0.001,0,0.001,0,0.001,0,0,0.001,0,0.001,0.001,0.001,0.01,0.001,0,0,0,0,0,0,0,0,0,0.002,10
1962.0,508.0,29.0,0.005,0.013,0.004,0.029,0.006,0.008,0.007,0.007,0.004,0.003,0.002,0.012,0,0.001,0.002,0.002,0.003,0.008,0.006,0.005,0.001,0.009,0.003,0.004,0.002,0.006,0,0,0.008,0.001,0.001,0.002,0.001,0.001,0.004,0.002,0.003,0.001,0,0,0,0.001,0.002,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0,0.004,0.001,0.001,0,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.002,0,0.001,0.001,0.001,0,0,0,0.002,0,0.001,0.001,0.002,0.002,0.001,0.002,0,0,0,0,0.001,0,0,0,0,0,0.003,0.002,0.005,0.001,0,0,0,0,0,0,0,0,0,0.003,10
260.0,53.0,4.0,0.016,0.044,0.011,0.102,0.02,0.025,0.024,0.024,0.013,0.009,0.004,0.039,0.004,0.004,0.004,0.004,0.008,0.028,0.022,0.017,0.002,0.032,0.01,0.012,0.007,0.018,0.004,0.001,0.029,0,0.003,0.006,0.001,0.001,0.015,0.006,0.008,0.001,0.01,0.002,0,0.001,0.003,0.005,0.004,0.004,0.001,0.005,0.002,0,0.001,0.001,0.005,0,0.003,0,0,0.002,0.001,0.001,0.012,0.002,0.002,0.001,0.006,0,0.003,0,0.001,0,0.001,0.002,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.005,0.003,0,0.001,0.005,0.007,0.003,0.002,0.001,0.001,0.001,0,0.001,0,0.001,0.001,0.001,0.003,0,0.002,0.018,0.002,0,0.001,0.001,0,0,0,0.001,0.001,0.001,0.002,10
1388.0,319.0,25.0,0.012,0.034,0.008,0.082,0.015,0.019,0.019,0.019,0.01,0.007,0.002,0.029,0,0.002,0.003,0.004,0.007,0.022,0.018,0.013,0,0.024,0.007,0.01,0.005,0.014,0.003,0,0.023,0,0.002,0.005,0.001,0.001,0.012,0.004,0.006,0.001,0.008,0.001,0,0,0,0.004,0.004,0.003,0.001,0.002,0.001,0,0.003,0,0.001,0.001,0.001,0,0.001,0.002,0.002,0,0.011,0.002,0.002,0,0.004,0,0.004,0.001,0.003,0.002,0.002,0.001,0.003,0.007,0.003,0.003,0,0.002,0.001,0.001,0.006,0.003,0.004,0,0.001,0.003,0.005,0.001,0,0,0.001,0.001,0,0,0,0.001,0.001,0.001,0.001,0,0.001,0.014,0.002,0.001,0.001,0.001,0.001,0,0.001,0.002,0.001,0.001,0.001,8
2048.0,435.0,25.0,0.008,0.021,0.006,0.047,0.009,0.011,0.011,0.011,0.006,0.005,0.002,0.019,0,0.002,0.002,0.003,0.004,0.013,0.01,0.008,0,0.015,0.005,0.006,0.004,0.009,0,0.001,0.013,0.001,0.002,0.003,0.001,0,0.007,0.003,0.004,0.001,0.002,0,0.001,0.001,0.002,0.003,0.003,0.002,0.001,0.003,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0.002,0.002,0.002,0,0.007,0.001,0,0,0.002,0.001,0.001,0.001,0,0.001,0,0,0,0,0,0,0.001,0.001,0,0,0.002,0.002,0.002,0.001,0.001,0.002,0.003,0,0.002,0,0.001,0,0.001,0.001,0,0,0,0.001,0,0.004,0.001,0.008,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0,12
1995.0,485.0,36.0,0.004,0.011,0.003,0.024,0.005,0.006,0.006,0.006,0.003,0.003,0.001,0.01,0.001,0.001,0.001,0.001,0.002,0.007,0.005,0.004,0.001,0.008,0.003,0.003,0.002,0.005,0,0.001,0.007,0.001,0.001,0.002,0.001,0,0.004,0.002,0.002,0.001,0.001,0,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0.002,0.001,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0,0.003,0.001,0.002,0,0.001,0,0.001,0,0,0.001,0,0.001,0,0.001,0,0.001,0.001,0,0.001,0,0.001,0.002,0,0.001,0.001,0.001,0.002,0.001,0.001,0,0,0,0,0.001,0,0,0,0.001,0,0.002,0.002,0.004,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,10
1530.0,373.0,20.0,0.008,0.021,0.006,0.048,0.009,0.011,0.011,0.011,0.006,0.004,0.002,0.019,0,0.002,0.002,0.002,0.004,0.013,0.01,0.008,0,0.015,0.005,0.006,0.003,0.008,0.001,0,0.014,0,0.001,0.003,0.001,0,0.007,0.003,0.004,0.001,0.004,0.001,0,0.001,0.003,0.002,0.002,0.001,0.001,0.003,0.001,0,0.003,0,0.001,0,0.001,0,0.001,0.001,0.001,0,0.006,0.001,0.001,0,0.002,0,0.002,0,0.001,0.001,0.001,0,0,0.002,0,0.001,0.001,0.001,0,0,0.004,0.001,0.002,0,0,0.002,0.003,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0.008,0.001,0,0,0,0,0,0,0,0,0,0.001,8
1440.0,370.0,14.0,0.005,0.013,0.003,0.03,0.006,0.008,0.007,0.007,0.004,0.003,0.001,0.012,0,0.001,0.001,0.002,0.003,0.008,0.006,0.005,0.001,0.009,0.003,0.004,0.002,0.006,0.001,0,0.008,0,0.001,0.002,0,0,0.004,0.002,0.002,0.001,0.002,0,0,0.001,0.001,0.002,0.002,0.001,0,0.002,0.001,0,0,0,0,0.001,0,0,0.001,0.001,0.001,0,0.004,0.001,0.001,0,0.001,0,0,0,0,0,0,0.001,0,0,0,0,0.001,0.001,0,0,0,0.002,0,0.001,0.001,0.002,0.002,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0.001,0.002,0.005,0.001,0,0,0,0,0,0,0,0,0,0.001,8
2385.0,533.0,28.0,0.01,0.024,0.007,0.053,0.01,0.013,0.012,0.013,0.007,0.005,0.003,0.023,0.001,0.003,0.002,0.002,0.004,0.015,0.011,0.009,0,0.018,0.005,0.007,0.004,0.01,0.002,0,0.015,0.001,0.002,0.003,0.003,0.001,0.008,0.004,0.004,0.002,0.004,0,0,0.001,0.005,0.002,0.003,0.002,0.001,0.005,0.002,0.001,0.006,0.001,0,0,0,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0,0.002,0,0.002,0,0.003,0.003,0.002,0.001,0.002,0.006,0.002,0.003,0.001,0,0,0,0.003,0.002,0.002,0,0,0.002,0.003,0,0.001,0,0,0.001,0,0,0,0,0.001,0,0.001,0.001,0.002,0.009,0.001,0,0,0,0,0,0,0.001,0,0,0.002,9
1807.0,411.0,29.0,0.013,0.037,0.01,0.087,0.016,0.02,0.02,0.02,0.01,0.007,0.003,0.033,0.001,0.003,0.003,0.003,0.007,0.024,0.019,0.014,0.001,0.027,0.008,0.01,0.006,0.015,0.003,0,0.025,0,0.002,0.005,0.001,0,0.013,0.005,0.006,0.001,0.009,0.001,0,0.001,0.002,0.004,0.004,0.002,0.001,0.004,0.001,0,0.001,0.001,0.003,0.001,0.002,0,0,0.002,0.001,0.001,0.011,0.002,0.003,0.001,0.004,0,0.005,0,0,0,0,0.001,0.001,0.002,0.001,0,0.001,0.002,0.001,0.001,0.008,0.002,0.005,0.001,0.001,0.003,0.005,0,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0.002,0.001,0.003,0.015,0.002,0.001,0.001,0.001,0.001,0,0.001,0.002,0.001,0.001,0.005,10
1067.0,273.0,9.0,0.01,0.026,0.007,0.06,0.011,0.014,0.014,0.014,0.007,0.005,0.003,0.023,0.002,0.002,0.002,0.003,0.005,0.016,0.013,0.01,0.001,0.019,0.006,0.007,0.004,0.01,0.002,0,0.017,0,0.002,0.003,0.001,0,0.009,0.004,0.004,0.001,0.005,0.001,0,0.001,0.002,0.003,0.003,0.002,0.001,0.003,0.001,0,0.002,0.001,0.003,0,0.001,0,0.001,0.001,0.001,0.001,0.007,0.001,0.002,0,0.003,0,0.004,0,0,0.001,0,0.001,0,0,0,0,0.001,0,0,0,0.006,0.001,0.004,0,0,0.002,0.003,0.001,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0,0.01,0.002,0,0,0,0,0,0,0.001,0,0,0.002,7
712.0,175.0,1.0,0.013,0.035,0.009,0.085,0.015,0.019,0.02,0.02,0.01,0.007,0.003,0.031,0,0.002,0.003,0.003,0.007,0.023,0.018,0.014,0.001,0.026,0.008,0.01,0.005,0.014,0.003,0,0.024,0,0.002,0.005,0,0.001,0.012,0.005,0.006,0.001,0.009,0.002,0,0,0.001,0.004,0.003,0.002,0.001,0.003,0.001,0,0.001,0.001,0.005,0.002,0.002,0,0,0.001,0.001,0.001,0.01,0.002,0.003,0.001,0.005,0.001,0.005,0,0.001,0.001,0.001,0.002,0.002,0.004,0.002,0.002,0.001,0.002,0.001,0.001,0.008,0.002,0.005,0.001,0,0.002,0.004,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0.002,0.001,0.004,0.014,0.001,0.001,0.001,0.001,0.001,0,0.001,0.002,0.001,0.001,0.007,5
338.0,84.0,2.0,0.002,0.005,0,0.001,0,0,0,0,0,0.011,0.002,0.003,0,0,0.009,0,0.004,0,0,0,0.001,0,0.001,0.006,0.004,0.001,0.001,0.006,0,0.007,0.01,0,0.001,0.009,0,0,0,0.008,0.001,0.027,0.005,0.009,0.001,0.001,0.013,0,0.001,0.001,0.005,0.008,0.002,0.039,0.09,0.026,0.051,0.015,0.009,0.022,0.025,0.019,0.014,0.01,0.001,0.018,0.022,0.012,0,0.005,0.001,0.001,0.001,0,0.001,0.003,0.001,0.001,0,0,0.007,0,0.002,0.001,0.001,0.002,0,0.001,0,0,0.002,0.001,0,0.001,0.001,0.002,0,0,0.001,0.008,0.001,0.001,0,0,0,0.008,0.011,0.008,0.007,0.005,0.006,0.015,0.008,0.008,0.001,1
327.0,78.0,6.0,0.001,0.006,0,0,0,0,0,0,0,0.013,0.002,0.003,0,0,0.013,0.002,0.006,0,0,0.001,0,0,0,0.009,0.006,0.001,0.001,0.001,0,0.011,0.014,0,0.001,0.013,0,0,0.001,0.008,0.001,0.04,0.001,0.001,0.001,0.001,0.016,0,0,0.001,0.006,0.01,0.001,0.054,0.129,0.008,0.073,0.018,0.017,0.032,0.036,0.028,0.021,0.013,0,0.026,0.031,0.013,0.004,0.009,0.001,0.001,0.001,0,0.001,0.002,0.001,0.001,0.001,0,0.001,0.001,0,0,0.001,0.002,0.001,0,0,0,0.005,0.002,0.001,0.002,0.001,0.003,0.001,0.001,0.001,0.001,0.003,0,0,0,0,0.001,0.002,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,2
554.0,122.0,15.0,0,0.007,0.001,0.006,0.001,0.002,0.001,0.001,0.001,0.017,0.001,0.001,0,0.001,0.016,0,0.008,0.002,0.001,0.001,0,0,0.001,0.012,0.007,0.002,0.002,0.002,0.002,0.011,0.017,0.001,0.003,0.014,0,0,0,0.009,0.002,0.05,0.002,0.003,0.005,0.002,0.02,0.001,0.001,0.003,0.007,0.011,0.007,0.068,0.164,0.006,0.093,0.023,0.017,0.042,0.047,0.036,0.03,0.016,0.001,0.033,0.039,0.016,0,0.01,0.005,0.004,0.004,0.001,0.003,0.01,0.004,0.005,0,0,0.003,0.001,0,0,0,0.002,0.001,0,0,0,0.004,0.002,0.001,0.002,0.001,0.004,0.001,0.001,0.002,0.003,0.002,0.008,0.003,0.002,0.001,0.003,0.004,0.003,0.003,0.002,0.002,0.006,0.003,0.003,0.003,2
688.0,161.0,6.0,0.001,0.002,0.001,0.003,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.002,0.002,0.001,0.001,0,0.001,0.001,0.001,0.001,0.002,0.001,0,0.001,0.001,0.001,0,0,0.001,0.001,0.001,0,0,0.001,0.001,0,0.001,0.001,0,0.003,0,0,0.001,0,0.002,0.001,0,0.001,0.001,0.001,0.001,0.005,0.011,0.001,0.006,0.002,0.001,0.003,0.003,0.002,0.002,0.001,0.004,0.002,0.003,0.001,0.002,0.001,0.001,0,0,0.003,0,0.001,0,0.001,0,0.002,0,0,0.005,0.002,0.002,0,0,0.001,0.001,0.002,0.001,0,0,0,0,0.001,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,3
353.0,87.0,4.0,0.001,0.004,0,0.003,0,0.001,0.001,0,0,0.01,0.002,0.001,0.001,0,0.01,0.002,0.005,0.001,0.001,0,0,0.001,0,0.007,0.004,0,0.001,0.001,0.001,0.009,0.011,0,0.001,0.01,0,0,0.001,0.006,0.001,0.031,0.001,0.001,0.001,0.001,0.012,0,0.001,0.001,0.005,0.008,0.002,0.042,0.101,0.006,0.057,0.014,0.015,0.025,0.028,0.022,0.016,0.01,0.001,0.02,0.024,0.01,0.005,0.008,0.001,0.001,0.001,0,0.001,0.002,0.001,0.001,0.001,0,0.001,0.002,0.001,0.001,0.001,0.004,0.002,0.001,0,0,0.01,0.003,0.001,0.004,0.003,0.007,0.002,0.002,0.003,0.001,0.005,0.002,0,0.001,0,0.001,0.001,0.001,0.001,0,0,0.002,0.001,0.001,0.005,1
603.0,132.0,5.0,0,0.003,0,0.003,0,0.001,0.001,0.001,0,0.009,0.001,0,0,0,0.009,0,0.004,0.001,0.001,0,0,0.001,0,0.006,0.004,0,0.001,0,0.001,0.007,0.01,0,0,0.009,0,0,0,0.006,0.001,0.028,0,0,0,0.001,0.011,0,0,0,0.004,0.007,0,0.038,0.091,0.007,0.052,0.013,0.01,0.023,0.025,0.02,0.015,0.009,0,0.018,0.022,0.009,0.001,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.001,3
186.0,48.0,3.0,0.001,0,0.001,0.011,0.002,0.003,0.003,0.003,0.001,0.01,0.001,0.002,0.001,0,0.011,0.001,0.004,0.003,0.002,0.001,0,0.003,0.001,0.007,0.004,0.001,0.001,0.001,0.003,0.008,0.012,0.001,0,0.011,0.002,0.001,0.001,0.007,0.001,0.035,0.001,0.001,0,0,0.013,0,0.001,0,0.005,0.008,0.001,0.047,0.113,0.007,0.064,0.016,0.011,0.028,0.031,0.025,0.017,0.011,0.001,0.023,0.028,0.011,0,0.006,0.001,0,0,0,0,0.001,0,0,0,0.001,0.001,0,0.001,0,0,0.001,0.001,0,0.001,0.001,0.004,0.001,0.001,0.002,0.001,0.003,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.002,0,0.001,0.001,0.001,0.001,0.001,0,0.002,0.001,0.001,0.001,1
158.0,38.0,2.0,0,0.003,0,0.007,0.001,0.002,0.002,0.001,0.001,0.013,0.002,0.001,0,0,0.014,0,0.006,0.002,0.002,0.001,0.001,0.002,0.001,0.009,0.006,0.001,0.001,0.001,0.002,0.01,0.015,0.001,0.001,0.014,0.001,0,0,0.009,0.002,0.044,0.001,0.002,0.001,0.001,0.017,0,0.001,0.001,0.007,0.011,0.003,0.059,0.142,0.006,0.08,0.02,0.015,0.035,0.039,0.031,0.022,0.014,0,0.029,0.034,0.014,0.001,0.009,0.002,0.001,0.001,0,0.001,0.004,0.001,0.002,0,0,0.002,0,0.001,0.001,0,0.001,0.001,0.001,0.001,0,0.002,0.001,0,0.001,0.001,0.002,0,0,0.001,0.002,0.001,0.003,0.001,0.001,0,0.002,0.003,0.002,0.002,0.001,0.001,0.004,0.002,0.002,0.001,1
496.0,124.0,9.0,0.002,0.005,0.002,0.001,0,0,0,0.001,0,0.008,0.002,0.004,0.001,0.001,0.007,0.001,0.004,0,0,0.001,0,0.001,0,0.006,0.004,0.001,0,0.001,0,0.006,0.008,0,0.002,0.008,0.001,0.001,0.001,0.006,0.001,0.023,0.001,0.001,0.003,0.001,0.009,0,0,0.002,0.004,0.006,0.005,0.031,0.073,0.008,0.042,0.011,0.009,0.018,0.02,0.016,0.012,0.008,0,0.015,0.018,0.008,0.001,0.005,0.003,0.002,0.003,0.001,0.002,0.007,0.002,0.004,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,1
